English,Turkish
trust,güven
dr.,dr.
met,tanışmak
office,ofis
question,soru
brought,getirilmiş
yours,seninki
welcome,hoş geldin
high,yüksek
wow,vay
couple,çift
half,yarım
died,ölü
cool,serin
free,Bedava
either,herhangi biri
seems,öyle gibi
power,güç
whoa,whoa
bye,Hoşçakal
buy,satın almak
telling,söylüyorum
honey,bal
tried,sınanmış
front,ön
team,takım
answer,Cevap
gun,silah
boys,erkekler
line,astar
send,göndermek
news,Haberler
stupid,Aptal
bed,yatak
hurry,acele etmek
full,tam
months,aylar
save,kayıt etmek
sometimes,bazen
become,haline gelmek
along,boyunca
hate,nefret
food,Gıda
outside,dışarıda
light,ışık
l,L
needs,ihtiyaç
dog,köpek
country,ülke
clear,açık
order,emir
em,EM
fact,hakikat
lord,Kral
captain,Kaptan
six,altı
hot,sıcak
funny,eğlenceli
black,siyah
mrs.,Bayan.
alive,canlı
pick,seçmek
feeling,his
living,yaşamak
cause,neden
ahead,ilerde
lose,kaybetmek
king,kral
plan,plan
dinner,akşam yemeği
sighs,iç çekiş
sort,çeşit
leaving,ayrılma
shouldn,olmamalı
running,koşma
boss,patron
alright,peki
promise,söz
taken,alınmış
safe,güvenli
ma,anne
book,kitap
sent,gönderilmiş
white,beyaz
hour,saat
anybody,kimse
small,küçük
perfect,kusursuz
cause,neden
lives,hayatları
special,özel
parents,ebeveynler
s,s
john,John
himself,kendisi
perhaps,belki
sounds,sesler
serious,cidden
sick,hasta
company,şirket
ha,Ha
scared,korkmuş
uncle,amca dayı
poor,yoksul
red,kırmızı
past,geçmiş
earth,Dünya
possible,mümkün
shoot,film çekmek
touch,dokunmak
sound,ses
top,tepe
ass,eşek
laughs,Gülüyor
cannot,olumsuz
asking,sormak
win,kazanç
glad,memnun
control,kontrol
hmm,Hmm
human,insan
drive,sürmek
hair,saç
jack,jak
bitch,orospu
luck,şans
murder,cinayet
happens,olmak
air,hava
ten,on
daddy,baba
finally,nihayet
chuckles,kıkırdamalar
fast,hızlı
cold,soğuk
seem,gözükmek
laughing,gülerek
words,sözler
hospital,hastane
street,sokak
hang,asmak
dance,dans
meeting,toplantı
till,kadar
others,diğerleri
catch,tutmak
follow,takip et
sense,algı
sex,seks
lie,Yalan
evening,akşam
master,usta
known,bilinen
dream,rüya
write,yazı yazmak
million,milyon
voice,ses
sweet,tatlı
rather,daha doğrusu
felt,keçe
sign,işaret
lucky,şanslı
somewhere,bir yerde
bet,bahis
o,Ö
jesus,isa
longer,uzun
calling,çağrı
worked,çalıştırılmış
quiet,sessizlik
looked,baktı
less,az
pull,çekmek
beat,çırpmak
careful,dikkatli olmak
coffee,Kahve
return,geri dönmek
secret,gizli
weeks,haftalar
weren,Weren
date,tarih
seeing,görme
fall,sonbahar
given,verilen
ooh,ooh
fault,arıza
straight,dümdüz
takes,almak
song,şarkı
future,gelecek
gentlemen,beyler
loved,sevilen
changed,değişen
road,yol
calm,sakinlik
wonderful,olağanüstü
mad,kızgın
turned,döndü
drop,damla
ladies,Hanımlar
learn,öğrenmek
step,adım
absolutely,kesinlikle
early,erken
explain,açıklamak
clean,temiz
piece,adet
yesterday,dün
throw,atmak
picture,resim
land,kara
feet,ayak
wonder,merak etmek
questions,soru
speaking,konuşuyorum
worth,değer
darling,sevgilim
dude,kanka
giving,verme
president,Devlet Başkanı
eye,göz
quick,hızlı
moving,hareketli
figure,figür
state,"belirtmek, bildirmek"
strong,kuvvetli
sam,Sam
none,Yok
amazing,inanılmaz
ones,olanlar
works,İşler
act,davranmak
needed,gerekli
weird,garip
law,yasa
worried,endişeli
report,bildiri
goodbye,Güle güle
missing,eksik
choice,tercih
happening,olay
chief,şef
wedding,düğün
strange,garip
general,genel
pain,Ağrı
am,Ben
kidding,dalga geçmek
decided,karar verilmiş
ya,YA
pass,geçmek
tired,yorgun
class,sınıf
officer,subay
kept,tutulmuş
wake,uyanmak
worse,daha da kötüsü
busy,meşgul
eh,Eh
mistake,hata
kiss,öpücük
court,mahkeme
building,bina
finish,bitiş
during,sırasında
age,yaş
ship,gemi
caught,yakalanmış
marry,evlenmek
meant,anlamına gelen
sell,satmak
dark,karanlık
watching,seyretme
system,sistem
suppose,sanmak
evidence,kanıt
movie,film
ride,sürmek
t,t
completely,tamamen
mouth,ağız
totally,tamamen
birthday,doğum günü
tv,televizyon
forgive,affetmek
born,doğmak
imagine,düşünmek
information,bilgi
instead,yerine
definitely,kesinlikle
security,güvenlik
certainly,kesinlikle
film,film
month,ay
lying,uzanmak
unless,meğer ki
train,tren
seven,Yedi
wear,giymek
clothes,çamaşırlar
michael,Michael
hotel,otel
christmas,Noel
attack,saldırı
hasn,hasta
round,yuvarlak
expect,beklemek
sing,şarkı söyle
terrible,korkunç
george,George
bag,çanta
history,Tarih
blue,mavi
near,yakın
broke,parasız
station,istasyon
seriously,gerçekten
forever,sonsuza kadar
david,David
frank,açık
except,hariç
thinks,düşünüyor
message,İleti
entire,bütün
joe,joe
table,masa
talked,konuştu
across,karşısında
rock,Kaya
lovely,sevimli
handle,üstesinden gelmek
middle,orta
buddy,ahbap
paid,paralı
protect,korumak
using,kullanma
floor,zemin
ran,koştu
swear,küfür
spend,harcamak
situation,durum
ring,yüzük
anywhere,herhangi bir yere
dangerous,tehlikeli
bill,fatura
york,York
army,Ordu
lead,öncülük etmek
bought,satın almak
finished,bitmiş
fair,adil
sun,güneş
letter,mektup
fool,aptal
attention,dikkat
club,kulüp
simple,basit
interesting,ilginç
space,Uzay
test,Ölçek
box,Kutu
group,grup
single,bekar
sitting,oturma
marriage,evlilik
join,katılmak
fear,korku
d,d
peace,Barış
forgot,Unuttun
force,Kuvvet
short,kısa
normal,normal
charlie,Charlie
present,Sunmak
enjoy,Eğlence
mike,Mike
crime,suç
horse,atış
ground,zemin
american,Amerikan
count,saymak
area,alan
charge,şarj etmek
honor,onur
lunch,öğle yemeği
miles,mil
radio,radyo
idiot,salak
ball,top
surprise,sürpriz
paper,kağıt
key,anahtar
boat,bot
quickly,hızlı bir şekilde
gold,altın
bar,bar
fish,balık
mark,işaret
tom,tom
wearing,giyme
crying,ağlama
accident,kaza
government,devlet
eight,sekiz
fell,düşmüş
cover,kapak
certain,belirli
interested,Ilgilenen
deep,derin
star,yıldız
sea,deniz
agree,Katılıyorum
problems,sorun
detective,dedektif
prison,hapishane
major,ana
stick,Çubuk
offer,teklif
difficult,zor
smart,akıllı
personal,kişisel
record,kayıt
stopped,durdu
hide,saklamak
whether,ikisinden biri
bank,banka
trip,seyahat
relax,rahatlamak
america,Amerika
public,halka açık
list,liste
afternoon,öğleden sonra
brain,beyin
fix,düzeltmek
bastard,piç
proud,gurur duymak
tea,Çay
service,hizmet
screaming,bağıran
forward,ileri
angry,sinirli
park,park
soul,ruh
fighting,savaş
peter,Peter
rich,zengin
agent,ajan
blow,üflemek
paul,Paul
dress,elbise
mary,Mary
missed,eksik
scene,sahne
killing,öldürme
standing,ayakta duran
saved,kurtarılmış
mm,mm
respect,saygı
killer,katil
ice,buz
mess,dağınıklık
tough,zorlu
feels,hisler
church,kilise
sad,üzgün
cell,hücre
drunk,sarhoş
share,Paylaş
camera,kamera
mm-hmm,mm-hmm
within,içinde
card,kart
fly,uçmak
ben,ben
girlfriend,kız arkadaşı
laugh,kahkaha
smell,koku
broken,bozuldu
mum,anne
honest,dürüst
often,sıklıkla
starting,Başlangıç
calls,çağrı
y,y
spent,harcanmış
third,üçüncü
english,ingilizce
visit,ziyaret
mama,anne
judge,yargıç
window,pencere
hungry,aç
dare,cesaret etmek
relationship,ilişki
moved,etkilenmiş
prove,ispat et
private,özel
wall,duvar
seat,oturma yeri
i-i,I-I
position,konum
lieutenant,teğmen
realize,fark etmek
lt,lt
especially,özellikle
machine,makine
walking,yürüme
art,sanat
pleasure,Zevk
bloody,kanlı
college,kolej
french,Fransızca
involved,dahil olmuş
cry,ağlamak
became,olmuş
lived,yaşamış
impossible,imkansız
obviously,açıkça
neither,hiç biri
accept,kabul
boyfriend,erkek arkadaş
besides,dışında
queen,kraliçe
teacher,öğretmen
cops,polisler
sake,uğruna
loves,sevgiler
carry,Taşımak
teach,öğretmek
apartment,apartman
upset,üzgün
green,Yeşil
la,la
liked,sevilen
cute,Şirin
evil,fenalık
professor,profesör
contact,İletişim
joke,şaka
cop,polis
huge,Kocaman
holy,kutsal
store,mağaza
jail,hapishane
likes,seviyor
lawyer,avukat
doubt,şüphe
continue,devam et
appreciate,takdirle karşılamak
cat,kedi
shop,Dükkan
driving,sürme
congratulations,Tebrikler
wrote,yazılı
village,köy
quit,çıkış yapmak
field,tarla
james,James
wine,şarap
decision,karar
south,güney
sleeping,uyuyor
slow,yavaş
laughter,kahkaha
island,ada
glass,bardak
beginning,başlangıç
cash,peşin
dying,ölme
hundred,yüz
whose,kimin
difference,fark
plane,uçak
push,itmek
continues,devam ediyor
mmm,mmm
singing,Şarkı söyleme
eating,yemek yiyor
north,kuzey
mrs,Bayan
tree,ağaç
madam,bayan
gift,hediye
truck,kamyon
putting,koyma
bear,ayı
board,yazı tahtası
grab,yakalamak
beer,bira
stuck,sıkışmak
magic,büyü
support,destek
rules,tüzük
grunts,homurdanma
partner,ortak
reach,ulaşmak
wind,rüzgâr
colonel,albay
max,maksimum
immediately,hemen
seconds,saniye
thousand,bin
gives,vermek
experience,tecrübe etmek
cheers,şerefe
victim,kurban
upon,üzerine
computer,bilgisayar
christ,Mesih
planet,gezegen
promised,söz
bus,otobüs
henry,Henry
dirty,kirli
search,Ara
staying,kalma
dreams,hayaller
arrest,tutuklanmak
holding,tutma
suddenly,birden
usually,genelde
lots,çok
shoes,ayakkabı
er,er
jump,zıplamak
rid,kurtulmak
yo,Yo
knock,vuruş
owe,borçlu olmak
harry,Harry
grow,büyümek
worst,en kötüsü
river,nehir
aunt,hala
patient,hasta
kitchen,mutfak
aah,Aah
fat,şişman
passed,geçti
m,m
final,son
summer,yaz
bob,bob
listening,dinleme
escape,kaçmak
everywhere,her yerde
moon,ay
arms,silâh
turns,dönüş
address,adres
ow,ow
match,kibrit
gasps,solumak
grand,büyük
yep,Evet
shh,shh
nervous,gergin
de,de
choose,Seç
themselves,kendileri
decide,karar vermek
mate,mat
drinking,içme
press,basmak
bother,rahatsız etmek
foot,ayak
hadn,vardı
blame,suçlamak
crap,saçmalık
drugs,ilaçlar
type,tip
rings,yüzük
mission,misyon
named,adlandırılmış
heaven,cennet
ii,II
picked,seçilmiş
paris,Paris
race,ırk
risk,risk
books,kitabın
further,daha öte
danny,Danny
action,eylem
allowed,izin verilmiş
orders,emirler
learned,öğrendi
price,fiyat
arrived,ulaşmış
nick,Nick
otherwise,aksi halde
pictures,resimler
fit,Uygun
smoke,Sigara içmek
favor,iyilik
played,çalınan
notice,farkına varmak
awesome,süper
smile,gülümsemek
director,müdür
guard,koruma
begin,başlamak
spot,leke
surprised,şaşırmış
innocent,masum
narrator,dış ses
herself,kendini
london,Londra
feelings,duygu
enemy,düşman
battle,savaş
ourselves,kendimizi
alex,Alex
dollars,dolar
allow,izin vermek
nine,dokuz
gay,eşcinsel
department,Bölüm
guilty,suçlu
apart,ayrı
earlier,daha erken
duty,görev
jim,Jim
suit,uygun olmak
bell,zil
west,Batı
legs,bacaklar
hero,kahraman
destroy,tahrip etmek
stage,sahne
bunch,demet
according,binaen
chicken,Tavuk
bigger,daha büyük
grunting,homurdanma
low,düşük
helping,yardım ediyor
admit,Kabul et
closed,kapalı
names,isimler
witness,tanık
upstairs,üst katta
arm,kol
steal,çalmak
jimmy,Jimmy
kick,tekme atmak
twice,iki defa
cross,geçmek
ways,yol
sergeant,Çavuş
indeed,aslında
gas,gaz
keeping,tutma
energy,enerji
pregnant,hamile
waste,atık
helped,yardım etti
fired,işten çıkarmak
favorite,favori
tony,Tony
taste,tatmak
locked,kilitli
places,yer
writing,yazı
adam,Adam
brothers,Kardeşler
starts,başlamak
prince,prens
form,biçim
sold,satıldı
silly,şapşal
mention,Anma
build,yapı
throat,boğaz
hole,delik
figured,figürlü
track,izlemek
ringing,zil sesi
lock,kilit
leg,bacak
above,üstünde
hiding,saklanma
steve,Steve
seemed,göründü
breakfast,kahvaltı
engine,motor
written,yazılı
complete,tamamlamak
video,video
applause,alkış
however,fakat
pressure,baskı yapmak
fresh,taze
weapon,silah
sky,gökyüzü
ms.,Hanım.
stole,çalkalamak
study,ders çalışma
burn,yakmak
reading,okuma
crowd,kalabalık
treat,davranmak
roll,rulo
double,çift
spirit,ruh
danger,tehlike
cost,maliyet
empty,boş
level,seviyesi
memory,hafıza
itself,kendisi
acting,oyunculuk
interest,faiz
nose,burun
plans,planlar
following,Takip etmek
bathroom,banyo
built,inşa edilmiş
closer,daha yakın
ray,ray
sarah,Sarah
band,grup
groans,inilti
apparently,görünen o ki
excited,heyecanlı
richard,Richard
losing,kaybeden
animals,hayvan
flight,uçuş
nature,doğa
raise,artırmak
pop,pop
client,müşteri
bomb,bomba
neck,boyun
suspect,şüphelenmek
warm,"Ilık, hafif sıcak"
extra,ekstra
bottle,şişe
van,kamyonet
heavy,ağır
mommy,anne
dogs,köpekler
wild,vahşi
ridiculous,gülünç
simply,basitçe
lee,LEE
animal,hayvan
showed,gösterişli
billy,fatura
shooting,çekim
keeps,tutar
camp,kamp
guns,tabanca
medical,tıbbi
shame,utanç
hoping,umursama
whom,kime
bird,kuş
majesty,ihtişam
flowers,Çiçekler
famous,tanınmış
asleep,uyuya kalmak
beauty,güzellik
driver,şoför
keys,anahtarlar
rain,yağmur
awful,berbat
large,büyük
local,yerel
deserve,hak etmek
goddamn,lanet olası
stone,taş
jane,Jane
grace,lütuf
consider,düşünmek
weekend,hafta sonu
wondering,merak ediyor
lay,sermek
plenty,bolca
willing,hevesli
pants,pantolon
sweetheart,sevgilim
skin,deri
excellent,harika
asshole,Pislik
beach,plaj
c,c
faith,inanç
beg,dilenmek
fuckin,lanet olası
responsible,sorumluluk sahibi
military,askeri
cheering,tezahürat
opportunity,fırsat
common,Yaygın
bottom,alt kısım
german,Almanca
whoever,her kim
cook,pişirmek
walked,yürüdü
papers,kağıtlar
justice,adalet
hall,salon
commander,komutan
drug,ilaç
main,ana
knife,bıçak
devil,şeytan
necessary,gerekli
although,olmasına rağmen
princess,prenses
lights,ışık
flying,uçan
dick,sik
rose,gül
knowing,bilen
clearly,Açıkça
hat,şapka
agreed,kabul
johnny,Johnny
corner,köşe
code,kodlamak
note,Not
tommy,Tommy
due,vadesi dolmuş
correct,doğru
apologize,özür dilemek
language,dil
stars,yıldızlar
faster,Daha hızlı
cars,arabalar
folks,millet
bullshit,saçmalık
i.,i.
fellow,dost
several,birkaç
grandma,büyükanne
shows,şov
leader,Önder
leaves,yapraklar
restaurant,restoran
east,doğu
shouting,bağırmak
blind,kör
ghost,hayalet
cup,Fincan
gotten,kazanılmış
tight,sıkı
conversation,konuşma
tells,anlatır
lies,yalanlar
nor,ne
pulled,çekilmiş
hanging,asılı
speed,hız
stories,hikayeler
health,sağlık
advice,tavsiye
held,Kavradı
uh-huh,HI-hı
murdered,öldürülmüş
beyond,öte
rule,kural
hardly,zorlukla
possibly,muhtemelen
inspector,müfettiş
cousin,hala kızı
trial,duruşma
emergency,acil durum
ought,zorunlu
eddie,Eddie
somehow,bir şekilde
hearing,işitme
states,eyaletler
account,hesap
spoke,konuşan
file,dosya
understood,anladım
angel,melek
tape,kaset
milk,Süt
powerful,güçlü
weapons,silahlar
practice,uygulama
manager,müdür
pardon,Pardon
vote,oy
jake,jake
national,Ulusal
career,kariyer
minister,bakan
super,Süper
taught,öğretilen
robert,Robert
biggest,en büyük
plays,oyunlar
natural,doğal
dancing,dans
copy,kopya
plus,artı
martin,Martin
cake,Kek
freedom,özgürlük
among,arasında
breath,nefes
operation,operasyon
chris,Chris
crew,mürettebat
challenge,meydan okuma
market,pazar
meat,et
towards,karşı
bringing,getirme
dropped,düşmüş
student,Öğrenci
lied,Yalan
strength,kuvvet
size,boy
breathe,nefes almak
color,renk
monster,canavar
loud,yüksek sesle
photo,Fotoğraf
aw,aw
nearly,neredeyse
sight,görme
greatest,En büyük
games,oyunlar
bridge,köprü
dressed,giyinmiş
arrested,tutuklanmış
horrible,berbat
coach,antrenör
planning,planlama
checked,kontrol
breaking,son Dakika
noticed,algılanan
fantastic,fantastik
screams,çığlıklar
serve,servis
ideas,fikir
investigation,soruşturma
center,merkez
older,daha eski
pack,ambalaj
soldiers,asker
nonsense,anlamsız
doc,doc
project,proje
training,Eğitim
example,örnek vermek
trick,kandırmak
prepared,hazırlanmış
science,bilim
united,Birleşik
travel,yolculuk
incredible,inanılmaz
grandpa,büyükbaba
paying,ödeme
character,karakter
teeth,dişler
criminal,adli
charles,Charles
chinese,Çince
truly,tamamen
honestly,gerçekten
bro,kanka
survive,hayatta kalmak
bobby,bobby
target,hedef
feed,beslemek
nurse,hemşire
e,e
fake,numara yapmak
records,kayıtlar
breathing,nefes alma
sweetie,Tatlım
numbers,sayılar
oil,sıvı yağ
suicide,intihar
belong,ait olmak
whoo,Whoo
perfectly,mükemmel bir şekilde
amy,Amy
forgotten,unutulmuş
remain,geriye kalmak
original,orijinal
papa,papa
onto,üzerine
concerned,endişeli
credit,kredi
ugh,ugh
invited,davetli
discuss,tartışmak
research,Araştırma
easier,Daha kolay
view,görüş
chair,sandalye
hurts,canı yanmak
strike,vuruş
roger,Roger
fill,doldurmak
condition,şart
mountain,dağ
dr,dr
nowhere,Hiçbir yerde
sheriff,şerif
kim,Kimlik
turning,dönme
brown,Kahverengi
recognize,tanımak
heads,kafalar
audience,kitle
all,herşey
jealous,kıskanç
pretend,numara yapmak
society,toplum
finding,bulma
shirt,gömlek
comfortable,rahat
meaning,anlam
guest,misafir
pieces,parçalar
dry,kuru
letting,izin vermek
began,başlamak
aye,ayyaş
jeff,Jeff
female,dişi
release,serbest bırakmak
ho,ho
cards,kart
pray,dua
unfortunately,maalesef
balls,toplar
destroyed,yerlebir edilmiş
ended,Bitti
universe,Evren
prepare,Hazırlamak
opinion,fikir
movies,filmler
soldier,asker
wash,yıkamak
program,program
heat,sıcaklık
usual,olağan
ticket,bilet
stolen,çalınan
prefer,tercih
aware,farkında olmak
surely,elbette
male,erkek
base,temel
matters,meseleler
lift,kaldırmak
lab,laboratuvar
command,emretmek
proof,kanıt
cream,krem
selling,satış
believed,inanmış
create,oluşturmak
h,h
afford,parası yetmek
sunday,pazar
total,Toplam
dumb,sersem
threw,attı
france,Fransa
birth,doğum
created,yaratılmış
realized,gerçekleştirilmiş
british,ingiliz
noise,"gürültü, ses"
nuts,Fındık
students,öğrenciler
birds,kuşlar
social,sosyal
brilliant,muhteşem
bodies,bedenler
tie,bağlamak
opened,açıldı
ours,bizim
bucks,para
kevin,Kevin
mister,bay
ugly,çirkin
ryan,Ryan
focus,odak
dan,dan
opens,açılır
exist,mevcut
followed,takip etti
england,İngiltere
draw,Berabere
purpose,amaç
letters,edebiyat
daniel,Daniel
opening,açılış
bullet,mermi
anna,Anna
lately,son zamanlarda
stayed,kalmış
falling,düşme
season,mevsim
ends,son
suggest,önermek
joy,neşe
distance,mesafe
responsibility,sorumluluk
whenever,ne zaman olursa
issue,sorun
thousands,binlerce
process,işlem
sword,kılıç
shower,duş
weak,zayıf
fucked,becerikli
lonely,yalnız
happiness,mutluluk
eric,Eric
tiny,minik
desk,çalışma masası
pool,havuz
property,Emlak
forced,zoraki
settle,yerleşmek
indistinct,belirsiz
weight,ağırlık
received,Alınan
gang,çete
bite,lokma
friday,Cuma
disappeared,ortadan kayboldu
interview,röportaj yapmak
expecting,bekleyen
kinda,gibi
surgery,ameliyat
horses,atlar
mayor,Belediye Başkanı
babe,bebek
ancient,Antik
handsome,yakışıklı
thomas,Thomas
saturday,cumartesi
staff,Personel
lines,çizgiler
unit,birim
fan,fan
gentleman,beyefendi
introduce,takdim etmek
fate,kader
split,bölmek
recently,son günlerde
expected,beklenen
add,Ekle
ordered,emredilmiş
slowly,yavaş yavaş
alarm,alarm vermek
member,üye
slept,uyudu
signed,imzalı
enter,girmek
spanish,İspanyol
garden,Bahçe
brings,getiriyor
brave,cesur
pig,domuz
model,model
finger,parmak
medicine,ilaç
access,erişim
failed,başarısız oldu
flat,düz
easily,kolayca
discovered,keşfetti
based,temelli
screw,vida
insane,inanılmaz
cares,umursama
weather,hava durumu
fingers,parmaklık
san,saniye
scott,Scott
path,yol
soft,yumuşak
harm,zarar
style,stil
community,toplum
sees,görüyor
basically,temel olarak
al,al
signal,sinyal
nope,Hayır
spare,kıyamamak
speech,konuşma
covered,kapalı
shake,sallamak
loose,gevşetmek
snow,kar
russian,Rusça
lake,göl
bright,parlak
roof,çatı
ohh,Aah
sending,gönderme
paint,boyamak
remind,hatırlatmak
pal,dost
naked,çıplak
post,İleti
sugar,Şeker
heading,başlık
streets,sokaklar
damage,hasar
silence,sessizlik
doors,kapılar
pete,Pete
ed,ED
success,başarı
